Accession	Title	TFOE	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1426983	TFOE_2203_3328c	Rv3328	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426983/suppl		Tige Rustad	4-Jul-14
GSM1426984	TFOE_4667_3328c	Rv3328	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426984/suppl		Tige Rustad	4-Jul-14
GSM1426985	TFOE_3290_3334	Rv3334	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426985/suppl		Tige Rustad	4-Jul-14
GSM1426986	TFOE_3349_3334	Rv3334	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426986/suppl		Tige Rustad	4-Jul-14
GSM1426987	TFOE_5242_3334_C	Rv3334	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426987/suppl		Tige Rustad	4-Jul-14
GSM1426988	TFOE_6629_3334_B	Rv3334	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426988/suppl		Tige Rustad	4-Jul-14
GSM1426989	TFOE_9642_3334	Rv3334	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426989/suppl		Tige Rustad	4-Jul-14
GSM1426990	TFOE_1949_3405c	Rv3405	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426990/suppl		Tige Rustad	4-Jul-14
GSM1426991	TFOE_6644_3405c	Rv3405	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426991/suppl		Tige Rustad	4-Jul-14
GSM1426992	TFOE_9539_3405c	Rv3405	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426992/suppl		Tige Rustad	4-Jul-14
GSM1426993	TFOE_1352_3414c	Rv3414	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426993/suppl		Tige Rustad	4-Jul-14
GSM1426994	TFOE_1523_3414c	Rv3414	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426994/suppl		Tige Rustad	4-Jul-14
GSM1426995	TFOE_7743_3414c	Rv3414	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426995/suppl		Tige Rustad	4-Jul-14
GSM1426996	TFOE_2558_3416	Rv3416	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426996/suppl		Tige Rustad	4-Jul-14
GSM1426997	TFOE_6695_3416	Rv3416	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426997/suppl		Tige Rustad	4-Jul-14
GSM1426998	TFOE_8067_3416	Rv3416	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426998/suppl		Tige Rustad	4-Jul-14
GSM1426999	TFOE_2895_3417c	Rv3417	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426999/suppl		Tige Rustad	4-Jul-14
GSM1427000	TFOE_6435_3417c	Rv3417	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427000/suppl		Tige Rustad	4-Jul-14
GSM1427001	TFOE_8280_3417c	Rv3417	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427001/suppl		Tige Rustad	4-Jul-14
