,"Alanine, Aspartate, and Glutamate Metabolism",Whole Metabolism,Alternate Carbon Metabolism,Arabinogalactan biosynthesis,Arginine and Proline Metabolism,Beta oxidation of unsaturated fatty acids,Carbon metabolism,Citric Acid Cycle,Cofactor,Cofactor and Prosthetic Group Biosynthesis,Cysteine and methionine metabolism,Degradation/Utilization/Assimilation,Ergothioneine biosynthesis,Fatty acid biosynthesis,Fatty Acid Metabolism,Folate Metabolism,Fructose and mannose metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism,Histidine Metabolism,Inositol phosphate metabolism,L-alpha-aminoadipic acid (L-AAA) biosynthesis,Lipid metabolism,Lipopolysaccharide Biosynthesis / Recycling,Membrane Metabolism,Miscellaneous,Mycobactin biosynthesis,Mycolic Acid Biosynthesis,Mycolic acid pathway,Nicotinate and nicotinamide metabolism,Nucleotide Salvage Pathway,Other Amino Acid Metabolism,Others,Oxidative Phosphorylation,Pantothenate and CoA Metabolism,Pentose Phosphate Pathway,Peptidoglycan Metabolism,p-HBAD biosynthesis,Phenolic glycolipid biosynthesis,Polyprenyl Metabolism,Propanoate Metabolism,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism,Redox Metabolism,Riboflavin Metabolism,Spermidine biosynthesis,Starch and sucrose metabolism,Sulfur metabolism,Thiamine Metabolism,Threonine and Lysine Metabolism,Transport,tRNA Charging,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Unassigned,Urea Cycle,"Valine, Leucine, and Isoleucine Metabolism",Cholesterol degradation
Rv1725c,-0.7059637847424846,-0.9254582941886279,0.7631688036505233,-0.27141341471564634,-0.3068152352764481,-0.5023750671776002,1.2794568762708547,-0.8268336819505478,,-0.2655187276363578,-0.5245041414484714,,-0.17401881244203757,,0.2754105362419454,-0.21728276535735103,0.955950797348946,-0.33664634822409967,0.7321955403440586,0.7631050666116914,-0.028381223532334476,0.40972228587304665,-0.5966254860315608,,1.093964836686461,-0.7641422754144401,-0.12182688792337235,-0.03058769094788245,1.1715894080060112,0.8959124362117801,0.9040927424041153,0.16824494663108264,0.45139444886539415,0.1444269341018575,-0.2937569401402605,-0.2510111073055008,0.29489740674313647,0.564431255613693,0.9475142960628489,,,0.2997368006923961,0.8318207085748482,-0.47875849684706867,-0.2419518144359322,-0.4568008168805737,0.10780260419759852,0.4381532423108654,0.5093885172184067,0.6457634905998749,0.91956418445587,2.7838951039389905,-0.3636444505697799,,-0.024342297203617056,,-0.6983753432973996,0.2726326735018188,
Rv3295,-0.7532909512721747,-0.866042597362295,-1.3024068224996426,-0.8104932565241323,-0.48891487415143103,-0.8875255337971337,-0.44003437546734897,-0.4129177933731745,,-0.6155163415044955,-1.9612059985030796,,-0.5401163422729811,,0.21787244828215366,-0.2890936438625702,-1.0393643967834167,-0.33643928721590305,-1.4809638619891983,-2.6571228328501686,-0.1865703852699946,-1.0248237343178725,-0.7783697148173835,,-1.014057904052041,-0.019063084936527065,-0.895193119406549,0.3712456404467013,-1.4154478063872533,-0.8383313717846832,-0.4425257435211849,-0.485599959428133,-1.6616705864717092,-2.148759154065929,0.6239774558372307,-0.732893090900034,-0.5713255091983035,-0.3734675270055373,-0.8383753590138646,,,1.583942885457001,-1.84378211177463,-1.1914350991930598,1.0723151654483782,-1.316654152274905,-0.478588187081714,-1.432575416709392,0.40016181718672683,-1.5977034406093478,-0.33885468555019815,-0.4426651180007416,-0.7507905740714359,,-0.7704407950008307,,-0.06432018856513183,-1.1750551029059324,
Rv1963c,-0.5983615508268335,-0.6584683183429496,-1.1087159036186658,-0.7871147958691537,0.13144833011977883,-0.5110447690714448,-0.41477446882246183,-0.445869028382351,,-0.20218040216702576,0.4211929296701978,,-0.5259651162092865,,-0.8797881508550016,-0.44278172243161823,-0.6554319013561157,-0.3604813764275213,-1.111556829856959,-0.6714135230276747,0.7389781467597185,-1.032379391026838,-0.648435385992218,,-0.9064284070896305,-0.5437619505383708,-0.6491546295266617,0.06411701682337034,-0.3501697828462282,-0.553815119217412,-0.58073156911711,-0.46375477380997426,0.8750331345468707,0.8542175747769433,-0.46397471063365486,-0.47736782763885294,-0.6007929953405156,-0.50697816843353,-0.4772001556602595,,,-0.09351408847451065,0.48798170117206513,-0.43023655518999204,-0.6782746154437698,0.11604334447714401,-0.4458555576649655,0.4381532423108654,-0.8825696514978373,0.6008542592592877,1.1737217088956031,-0.10032696949168105,-0.3984971523122735,,-0.49081892008433614,,-0.7965653367260322,-1.1369460054934566,
Rv3328c,1.5476259934348569,1.1303180345726722,-1.4830477385649616,0.36310057039143767,-0.679863466159973,-0.9469963334811323,-0.477505854887062,-0.0483827194729668,,0.0640955186382031,-0.40406302409972894,,-0.4953831859453196,,-4.340217635696159,-0.9423701363728502,-1.1555159189668534,-0.36187258294582075,-1.5443627206331068,-2.5098037913797584,-1.9923252467034194,-1.2636722071145419,-0.8184234931336236,,-1.0796483189439647,-0.6734179418261272,-0.9921492522952091,-1.5907011013828873,-0.5859499838691292,-0.915612030819073,-0.7991094594442045,-0.7014922529511917,-1.729927934872238,-0.21603908513222125,-0.28860982862108314,-0.014874964850456154,-0.8163703366223454,-1.0533563937374502,-0.9476415156213372,,,-0.9233416482564001,-1.9821252433181018,0.13005497911116157,-2.5891660225856614,-1.1327910504697478,-0.7031864603463452,-1.3589904309873384,0.19329805621222335,-2.025674972201182,-1.4090224378718557,-0.6408140712862601,-0.4038611470071405,,-0.47582029997761166,,-1.226977001557929,1.2740629860172616,
Rv1358,1.4756188461699697,0.7235160107470576,0.17459262452667385,1.181554382533012,-0.6825017475966718,-0.1844662500888429,0.4258742021683925,-0.3664997343582723,,0.4115174455804436,0.4905297802276466,,-0.2092384805804458,,0.23229399083265156,-0.8392393956608113,0.48540722697669064,6.593836764785237,0.775283335790004,2.2774753336707523,-1.1269021172120461,-1.1359359938390037,-0.37287010468895015,,-0.7735039195051381,-0.6860897707573079,-0.41362482432738323,0.5369921704385449,1.1715894080060112,0.2327354117118849,0.32815584167057277,-0.2422477888547902,0.8251611268829318,1.0591068722511343,-0.24481564932396982,-0.38928868405836947,-0.41058340529100684,4.279853711625729,0.3511555251915035,,,-0.9586819803301995,0.48831637528567756,-0.777419237240447,0.06026048911329037,1.414525819230153,-0.2546787261548255,0.2968646621888129,-0.08515618200784231,0.6996885201334179,-0.026527882698080284,-0.5337054258032429,-0.37241180175639177,,-0.8886199421286071,,-1.1794976199626983,1.15779835146471,
Rv0081,1.1583226554715462,2.7905832320290673,0.888304092853021,0.510407044381622,3.4635319160304037,-0.8291605901765905,-0.3243148562518119,-0.3202683671285522,,12.687512268856526,1.0339235675781449,,-0.16443548080245138,,-0.36793643776120144,0.5509324423689942,0.9268493772179235,2.590338915232146,-1.1118557099248347,-0.802316226027461,2.179021403507941,2.4101472263499937,0.162612564971737,,1.207805338725994,0.2570574767152343,-0.7716065489653089,1.9589867260695601,1.1715894080060112,0.9193260062740283,-0.5469909583057434,-0.5604330339109848,0.8701938265941034,0.4002828073456244,0.17341279852959604,12.813859534362923,0.16064437681091076,1.0102645016043779,0.9847533475362868,,,2.2011730229489586,0.9061153426404388,-0.32041762740482765,-0.4569971795864271,-1.2423792462392862,-0.5182918559330216,0.4381532423108654,-1.3142309881949732,0.6392940576291168,1.2347944493913876,-0.4795184933806635,-0.44717592009157653,,2.85209397549275,,2.051546262677507,0.8646229274766374,
Rv1221,-0.7110643173252378,-0.3009574313471025,-1.541520073925855,-1.0211197186756886,-0.8464651128727025,2.148705160601939,-0.4158429849103532,1.6435155173563691,,-0.3518398502570816,1.125844197992522,,-0.5316889825746407,,0.7164523919600685,-0.9119033419879394,0.9869450640765208,-0.31848077859844504,0.74640236023277,1.0264803540933818,-1.624730726829484,-0.37710466242110635,-0.5155143768675222,,-0.9514389195892106,-0.8095512449422115,-1.023795779169251,0.46203211385799364,-0.9160204713855612,1.0259386903150778,-0.7196730032588529,-0.7006154706897797,0.0505681965508153,1.0113095541251376,-0.7163901927472186,-0.27429368820214794,0.3670402817826638,-0.8829518480428531,1.0675707680499884,,,0.8205271726054283,-1.6462245152806623,-0.8230051360902165,1.3423292892412917,-0.2943187879756251,-0.6814399248842522,0.4381532423108654,-1.666433749047977,0.7526881512257169,1.2678988887818432,0.4748595969815893,0.26083429487469134,,0.5795648514584528,,-0.04817762418595598,-1.144387745525737,
Rv3066,1.6000966383359603,1.1831491732102186,0.7947761150694035,0.7711126015993092,-0.6470138858054809,-0.4009944549547806,-0.39672483484788795,-0.863581075118516,,-0.22596321870867156,0.34797587410638225,,-0.5300963204143855,,-0.8229711415212376,-0.5700198504196127,-1.1426350296980778,-0.36187258294582075,-1.2890014715491176,-0.7791898082530709,-0.8776442671474147,-1.1149613365339168,-0.7598728276429837,,1.166238417480082,-0.6671012143265926,-0.700598952673952,-0.29206435235810513,-0.6850868386889477,-0.9276954883665668,-0.5958520422578025,-0.4917087942755147,0.8848623865633507,0.5591216588591851,-0.5322101845503802,-0.07812192205819828,-0.767227138741524,-0.6914510353410821,-0.9355252315492796,,,-1.0510090443907585,0.6465169353152898,-0.18311169544204786,-0.8090341596422286,-0.4982774712166018,-0.431062061189794,-0.08765055540262763,-0.879321670800876,0.6411290208457073,-0.5463704608780684,-0.29450202179066953,-0.2811423088680746,,-0.9939954477740667,,-0.7581559074977678,1.3443714946505583,
Rv3208,-0.6865120820404148,0.1310664816139425,-0.7221520354059122,0.5191513540739334,0.8010011544511766,2.1599921330029495,-0.3720409083516762,0.27395342564976904,,0.4434796633928966,1.0014641852323471,,2.582362588833307,,0.8539145901455716,1.3780653854832283,1.3963258179497835,-0.2846162360651924,0.7452775809994001,1.141967631577036,1.1227999883933648,2.239246853164982,1.6630763161483975,,-0.4869221178581117,2.186199030147263,0.06664604956226662,1.295465061969506,0.4989387536894495,1.4917206063403614,2.4077839827667185,2.261666841373635,0.1714291505487529,-1.0999154388613586,2.651767693117754,0.4791184861918938,2.023581167214299,1.130943957552611,1.4526341935330007,,,2.7087962944773003,-0.7967908539893236,0.31101446542788636,1.943479170024015,0.17991425552453302,2.266002525305957,0.4381532423108654,1.4872040694494908,-0.8989482150477479,1.2679039342001692,2.8462214937892867,0.019272946431807672,,1.7076853090796913,,1.7401925874027642,-0.856533565603675,
Rv3060c,1.6513948454592189,1.5557434726489376,0.8442422402421267,1.0287009583407916,0.20357311775766382,-0.6900543192894938,-0.4636690334076805,-0.3700367068427802,,0.17054115368017062,-1.284714852052465,,-0.4844995871077586,,-0.4271771502999321,-0.31459382567311234,-0.5624899710122425,-0.35109854482248853,-0.9745317553467029,-0.6981748695799428,-0.8910297248507857,-0.19547745415007006,-0.5728807419811099,,1.1750626914578814,-0.3434006889380026,-0.38476781130150883,0.6380565087125144,-1.1231658863033323,-0.46437454882000406,-0.44681249718320387,-0.3384399011647083,0.8291580782258882,-0.10181368300381437,-0.7163901927472186,0.18615706456639436,-0.4852137604744249,-0.4056262270126499,-0.3898274039996949,,,-0.05781856064633518,0.8792894558698398,-0.4138347493726369,-0.5096702389361365,-0.8618432831363254,-0.3485933879730534,0.41864237083338207,0.29966368859393394,0.670838394563668,-0.37827944442019734,-0.5303169916097352,0.43145643247769283,,-0.711532438664404,,-0.3219180025501475,1.324061936065927,
