metabolite,Mann-Whitney U1,Mann-Whitney U2,rho,p-value,adj p-value,tf,represented metabolites,name,compartment,formula,id,bigg_id,MetaNetX id,KEGG id,SEED id,CHEBI id,KEGG pathways,KEGG modules
glu__D[c],36493.5,39602.5,0.4795718566021867,0.7317092343077811,0.9987209172869325,Rv0022c,set(),D-Glutamate [cytoplasm],c,C5H8NO4,glu__D[c],glu__D_c,MNXM331,C00217,cpd00186,12979;15966;21022;21023;29986;29989;4183,D-Amino acid metabolism;Metabolic pathways,
1pyr5c[c],39690.0,36406.0,0.5215780067283431,0.25839595141295735,0.9987209172869325,Rv0022c,{'pro__L[c]'},1-Pyrroline-5-carboxylate [cytoplasm],c,C5H6NO2,1pyr5c[c],1pyr5c_c,MNXM1617,C03912;C04322,cpd02431;cpd02651;cpd29655,11297;11689;12409;1372;15893;17388;18727;19095;19873;26458;29066;371,"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;","Proline biosynthesis, glutamate => proline;Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate;Proline degradation, proline => glutamate;Proline metabolism;"
glx[c],38462.0,37634.0,0.505440496215307,0.43513764429190716,0.9987209172869325,Rv0022c,"{'oxa[c]', 'hoa[c]', 'hla[c]'}",Glyoxylate [cytoplasm],c,C2H1O3,glx[c],glx_c,MNXM69,C00048,cpd00040,14368;16891;24420;24421;35977;36655;42767;5509,"Purine metabolism;Caffeine metabolism;Glycine, serine and threonine metabolism;Arginine and proline metabolism;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;C5-Branched dibasic acid metabolism;Methane metabolism;Other carbon fixation pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","Glyoxylate cycle;Formaldehyde assimilation, serine pathway;Ethylmalonyl pathway;3-Hydroxypropionate bi-cycle;Photorespiration;Methylaspartate cycle"
acgam6p[c],33762.0,42334.0,0.4436764087468461,0.9547648462205154,0.9987209172869325,Rv0022c,{'acgam1p[c]'},N-Acetyl-D-glucosamine 6-phosphate [cytoplasm],c,C8H14NO9P,acgam6p[c],acgam6p_c,MNXM63556,C00357,cpd00293,12456;12564;15784;21521;39577;49353;49359;57513;7127,Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars;Phosphotransferase system (PTS),"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc;UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc"
gal[c],36179.0,39917.0,0.47543891925988224,0.7698477216096533,0.9987209172869325,Rv0022c,{'gal1p[c]'},D-Galactose [cytoplasm],c,C6H12O6,gal[c],gal_c,MNXM390,C00124;C00984,cpd00108;cpd00724,10231;12936;22373;28061;4139;42741,Galactose metabolism;Metabolic pathways;Bacterial chemotaxis;Phosphotransferase system (PTS);Carbohydrate digestion and absorption;Mineral absorption;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P;UDP-Gal biosynthesis, Gal => UDP-Gal;Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
glc__D[c],37642.0,38454.0,0.4946646341463415,0.5637738055171398,0.9987209172869325,Rv0022c,"{'ctp[c]', '14glucan[c]', 'dudp[c]', 'gam1p[c]', 'gmhep7p[c]', 'udpgalfur[c]', 'mndn[c]', 'tres[c]', 'phbz2[c]', 'dutp[c]', 'dcmp[c]', 'cmp[c]', 'malt6p[c]', 'phdca[e]', 'mi3p__D[c]', 'phbz1[c]', 'dtmp[c]', 'ump[c]', 'dtdp4d6dm[c]', 'phbz1g[c]', 'utp[c]', 'tre6p[c]', 'mi1p__D[c]', 'glycogen[c]', 'cdp[c]', 'udp[c]', 'udpgal[c]', '4c2me[c]', 'db4p[c]', 'inost[c]', 'dtdp[c]', 'phdca[c]', 'malt1p[c]', 'dump[c]', 'dcdp[c]', 'g6p[c]', 'dtdprmn[c]', '2p4c2me[c]', 'g1p[c]', 'pdx5p[c]', 'tre[c]', 'gam6p[c]', 'man6p[c]', 'dtdp4d6dg[c]', '6pgl[c]', 'udpglcur[c]', 'pac[e]', 'rbzn[c]', 'f6p[c]', 'dtdpglu[c]', 'malt[c]', 'pydx5p[c]', 'ru5p__D[c]', 'udpg[c]', 'xu5p__D[c]', 'gmhep17bp[c]', 'man1p[c]', 'dctp[c]', 'dttp[c]', '6pgc[c]', 'dhna[c]', 'man[c]'}",D-Glucose [cytoplasm],c,C6H12O6,glc__D[c],glc__D_c,MNXM41,C00031,cpd00027;cpd26821,12965;17634;20999;4167,"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Mycolic acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Neomycin, kanamycin and gentamicin biosynthesis;Sulfoquinovose metabolism;Indole alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Two-component system;Phosphotransferase system (PTS);HIF-1 signaling pathway;FoxO signaling pathway;Meiosis - yeast;Efferocytosis;AMPK signaling pathway;Taste transduction;Insulin signaling pathway;Insulin secretion;Prolactin signaling pathway;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Non-alcoholic fatty liver disease;AGE-RAGE signaling pathway in diabetic complications;Carbohydrate digestion and absorption;Bile secretion;Mineral absorption;Biofilm formation - Vibrio cholerae;Central carbon metabolism in cancer;Diabetic cardiomyopathy","Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM;Sulfoquinovose degradation, sulfoquinovose => glucose"
2mop[c],38657.0,37439.0,0.5080030487804879,0.40504006666262266,0.9987209172869325,Rv0022c,{'3hmp[c]'},2-Methyl-3-oxopropanoate [cytoplasm],c,C4H5O3,2mop[c],2mop_c,MNXM305,C00349,cpd00287;cpd23282,11609;11610;1193;16256;19682;57700,"Valine, leucine and isoleucine degradation",
dxyl5p[c],32185.0,43911.0,0.4229525862068966,0.9897139597935138,0.9987209172869325,Rv0022c,set(),1-deoxy-D-xylulose 5-phosphate [cytoplasm],c,C5H9O7P,dxyl5p[c],dxyl5p_c,MNXM622,C11437,cpd08289,11254;16493;57792;622,Cysteine and methionine metabolism;Thiamine metabolism;Terpenoid backbone biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,"C5 isoprenoid biosynthesis, non-mevalonate pathway;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP"
glyc__R[c],40913.0,35183.0,0.537649810765349,0.1289615887460484,0.9987209172869325,Rv0022c,set(),(R)-Glycerate [cytoplasm],c,C3H5O4,glyc__R[c],glyc__R_c,MNXM189,C00258,cpd00223,10999;12985;16659;21027;21030;24348;24349;32398;33508;33846;33871;4187;41990,"Pentose phosphate pathway;Glycine, serine and threonine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate;Formaldehyde assimilation, serine pathway;Photorespiration"
ala__D[c],32304.0,43792.0,0.42451640033641713,0.9883581893057332,0.9987209172869325,Rv0022c,"{'alaala[c]', 'h2o2[c]', 'ala__L[c]', 'ala__D[e]', 'ala__L[e]', 'oh1[c]'}",D-Alanine [cytoplasm],c,C3H7NO2,ala__D[c],ala__D_c,MNXM156,C00133,cpd00117,10840;12899;15570;20893;32435;32436;4087;41756;41798;41848;41877;57416,D-Amino acid metabolism;Peptidoglycan biosynthesis;Teichoic acid biosynthesis;Metabolic pathways;Vancomycin resistance;Cationic antimicrobial peptide (CAMP) resistance;Taste transduction,
