metabolite,Mann-Whitney U1,Mann-Whitney U2,rho,p-value,adj p-value,tf,represented metabolites,name,compartment,formula,id,bigg_id,MetaNetX id,KEGG id,SEED id,CHEBI id,KEGG pathways,KEGG modules
glx[c],3810.0,2214.0,0.6324701195219123,0.13517920852517604,0.397344946270972,Rv0212c,"{'oxa[c]', 'hoa[c]', 'hla[c]'}",Glyoxylate [cytoplasm],c,C2H1O3,glx[c],glx_c,MNXM69,C00048,cpd00040,14368;16891;24420;24421;35977;36655;42767;5509,"Purine metabolism;Caffeine metabolism;Glycine, serine and threonine metabolism;Arginine and proline metabolism;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;C5-Branched dibasic acid metabolism;Methane metabolism;Other carbon fixation pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","Glyoxylate cycle;Formaldehyde assimilation, serine pathway;Ethylmalonyl pathway;3-Hydroxypropionate bi-cycle;Photorespiration;Methylaspartate cycle"
acgam6p[c],4660.0,1364.0,0.7735723771580345,0.008954477015245755,0.0965093633865376,Rv0212c,{'acgam1p[c]'},N-Acetyl-D-glucosamine 6-phosphate [cytoplasm],c,C8H14NO9P,acgam6p[c],acgam6p_c,MNXM63556,C00357,cpd00293,12456;12564;15784;21521;39577;49353;49359;57513;7127,Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars;Phosphotransferase system (PTS),"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc;UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc"
gal[c],4154.0,1870.0,0.6895750332005313,0.055280193317372786,0.32935295292548095,Rv0212c,{'gal1p[c]'},D-Galactose [cytoplasm],c,C6H12O6,gal[c],gal_c,MNXM390,C00124;C00984,cpd00108;cpd00724,10231;12936;22373;28061;4139;42741,Galactose metabolism;Metabolic pathways;Bacterial chemotaxis;Phosphotransferase system (PTS);Carbohydrate digestion and absorption;Mineral absorption;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P;UDP-Gal biosynthesis, Gal => UDP-Gal;Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
glc__D[c],4630.0,1394.0,0.7685922974767596,0.010183468870673638,0.09877964804553428,Rv0212c,"{'ctp[c]', '14glucan[c]', 'dudp[c]', 'gam1p[c]', 'gmhep7p[c]', 'udpgalfur[c]', 'mndn[c]', 'tres[c]', 'phbz2[c]', 'dutp[c]', 'dcmp[c]', 'cmp[c]', 'malt6p[c]', 'phdca[e]', 'mi3p__D[c]', 'phbz1[c]', 'dtmp[c]', 'ump[c]', 'dtdp4d6dm[c]', 'phbz1g[c]', 'utp[c]', 'tre6p[c]', 'mi1p__D[c]', 'glycogen[c]', 'cdp[c]', 'udp[c]', 'udpgal[c]', '4c2me[c]', 'db4p[c]', 'inost[c]', 'dtdp[c]', 'phdca[c]', 'malt1p[c]', 'dump[c]', 'dcdp[c]', 'g6p[c]', 'dtdprmn[c]', '2p4c2me[c]', 'g1p[c]', 'pdx5p[c]', 'tre[c]', 'gam6p[c]', 'man6p[c]', 'dtdp4d6dg[c]', '6pgl[c]', 'udpglcur[c]', 'pac[e]', 'rbzn[c]', 'f6p[c]', 'dtdpglu[c]', 'malt[c]', 'pydx5p[c]', 'ru5p__D[c]', 'udpg[c]', 'xu5p__D[c]', 'gmhep17bp[c]', 'man1p[c]', 'dctp[c]', 'dttp[c]', '6pgc[c]', 'dhna[c]', 'man[c]'}",D-Glucose [cytoplasm],c,C6H12O6,glc__D[c],glc__D_c,MNXM41,C00031,cpd00027;cpd26821,12965;17634;20999;4167,"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Mycolic acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Neomycin, kanamycin and gentamicin biosynthesis;Sulfoquinovose metabolism;Indole alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Two-component system;Phosphotransferase system (PTS);HIF-1 signaling pathway;FoxO signaling pathway;Meiosis - yeast;Efferocytosis;AMPK signaling pathway;Taste transduction;Insulin signaling pathway;Insulin secretion;Prolactin signaling pathway;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Non-alcoholic fatty liver disease;AGE-RAGE signaling pathway in diabetic complications;Carbohydrate digestion and absorption;Bile secretion;Mineral absorption;Biofilm formation - Vibrio cholerae;Central carbon metabolism in cancer;Diabetic cardiomyopathy","Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM;Sulfoquinovose degradation, sulfoquinovose => glucose"
2mop[c],3067.0,2957.0,0.5091301460823373,0.4702743483440972,0.6424874899912314,Rv0212c,{'3hmp[c]'},2-Methyl-3-oxopropanoate [cytoplasm],c,C4H5O3,2mop[c],2mop_c,MNXM305,C00349,cpd00287;cpd23282,11609;11610;1193;16256;19682;57700,"Valine, leucine and isoleucine degradation",
dxyl5p[c],4024.0,2000.0,0.6679946879150066,0.07782755492418189,0.32935295292548095,Rv0212c,set(),1-deoxy-D-xylulose 5-phosphate [cytoplasm],c,C5H9O7P,dxyl5p[c],dxyl5p_c,MNXM622,C11437,cpd08289,11254;16493;57792;622,Cysteine and methionine metabolism;Thiamine metabolism;Terpenoid backbone biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,"C5 isoprenoid biosynthesis, non-mevalonate pathway;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP"
glyc__R[c],3955.0,2069.0,0.6565405046480743,0.0954140781209612,0.32935295292548095,Rv0212c,set(),(R)-Glycerate [cytoplasm],c,C3H5O4,glyc__R[c],glyc__R_c,MNXM189,C00258,cpd00223,10999;12985;16659;21027;21030;24348;24349;32398;33508;33846;33871;4187;41990,"Pentose phosphate pathway;Glycine, serine and threonine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate;Formaldehyde assimilation, serine pathway;Photorespiration"
ala__D[c],2670.0,3354.0,0.44322709163346613,0.6806313390636813,0.7859671415378224,Rv0212c,"{'alaala[c]', 'h2o2[c]', 'ala__L[c]', 'ala__D[e]', 'ala__L[e]', 'oh1[c]'}",D-Alanine [cytoplasm],c,C3H7NO2,ala__D[c],ala__D_c,MNXM156,C00133,cpd00117,10840;12899;15570;20893;32435;32436;4087;41756;41798;41848;41877;57416,D-Amino acid metabolism;Peptidoglycan biosynthesis;Teichoic acid biosynthesis;Metabolic pathways;Vancomycin resistance;Cationic antimicrobial peptide (CAMP) resistance;Taste transduction,
ragund[c],3956.0,2068.0,0.6567065073041168,0.09517191668522337,0.32935295292548095,Rv0212c,"{'galfragund[c]', 'agalfragund[c]', 'arabinanagalfragund[c]', 'unaga[c]'}",Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate [cytoplasm],c,C69H113N1O16P2,ragund[c],ragund_c,MNXM80754,,cpd15562,,,
acglu[c],3587.0,2437.0,0.5954515272244356,0.20999954856376585,0.5168186154757722,Rv0212c,set(),N-Acetyl-L-glutamate [cytoplasm],c,C7H9NO5,acglu[c],acglu_c,MNXM730,C00624,cpd00477,12575;17533;21549;21552;44335;44337;64040;7150;87274,Arginine biosynthesis;D-Amino acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,"Ornithine biosynthesis, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
acg5sa[c],3423.0,2601.0,0.5682270916334662,0.2822344056090225,0.5619464130800046,Rv0212c,"{'acorn[c]', 'acg5p[c]'}",N-Acetyl-L-glutamate 5-semialdehyde [cytoplasm],c,C7H10NO4,acg5sa[c],acg5sa_c,MNXM1062,C01250,cpd00918,11493;12461;12577;16319;21551;29123;7152,Arginine biosynthesis;Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,"Ornithine biosynthesis, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
sucorn[c],4003.0,2021.0,0.6645086321381142,0.08426979644019285,0.32935295292548095,Rv0212c,"{'agm[c]', 'arg__L[c]', 'argsuc[c]', 'sucarg[c]', 'sucglu[c]', 'arg__L[e]', 'sucgsa[c]', 'citr__L[c]'}",N2-Succinyl-L-ornithine [cytoplasm],c,C9H15N2O5,sucorn[c],sucorn_c,MNXM1152,C03415,cpd02160,21822;27574;45896;58514;7375,Arginine and proline metabolism;Metabolic pathways,"Arginine succinyltransferase pathway, arginine => glutamate"
co[c],2687.0,3337.0,0.44604913678618857,0.6722329396532852,0.7856216282695021,Rv0212c,{'co[e]'},Carbon monoxide [cytoplasm],c,CO,co[c],co_c,MNXM10881,C00237,cpd00204,13281;17245;23013;3282;41526;58072,Chloroalkane and chloroalkene degradation;Methane metabolism;Other carbon fixation pathways;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Two-component system,"Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway);Acetyl-CoA pathway, CO2 => acetyl-CoA"
icit[c],4036.0,1988.0,0.6699867197875166,0.0771657876787428,0.32935295292548095,Rv0212c,set(),Isocitrate [cytoplasm],c,C6H5O7,icit[c],icit_c,MNXM89661,C00311,cpd00260,14465;16087;24884;24886;30887;36453;36454;5998,"Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Other carbon fixation pathways;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Glucagon signaling pathway;Central carbon metabolism in cancer","Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate;Glyoxylate cycle;Reductive citrate cycle (Arnon-Buchanan cycle);Methylaspartate cycle"
2dmmql8[c],3992.0,2032.0,0.6626826029216467,0.08673787857756482,0.32935295292548095,Rv0212c,"{'mqn8[c]', 'mql8[c]', '2dmmq8[c]'}",2-Demethylmenaquinol 8 [cytoplasm],c,C50H72O2,2dmmql8[c],2dmmql8_c,MNXM558,,cpd15353,61873,,
hco3[c],2937.0,3087.0,0.48754980079681276,0.5411460650920741,0.7062002698655343,Rv0212c,set(),Bicarbonate [cytoplasm],c,CHO3,hco3[c],hco3_c,MNXM60,C00288;C01353,cpd00242,13351;13363;17544;22863;23017;23744;28976;29201;3401;40961;41605;41609;5589,Arginine biosynthesis;Purine metabolism;Other carbon fixation pathways;Atrazine degradation;Nitrogen metabolism;Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters;cAMP signaling pathway;Meiosis - yeast;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Mineral absorption;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion,;
fe2[c],4839.0,1185.0,0.8032868525896414,0.005175945264059365,0.07293162852919849,Rv0212c,set(),Fe2+ mitochondria [cytoplasm],c,Fe,fe2[c],fe2_c,MNXM111,C14818,cpd10515,13319;13321;21129;24876;29033;34754;49599,Porphyrin metabolism;ABC transporters;HIF-1 signaling pathway;Hormone signaling;Ferroptosis;Mineral absorption;Alzheimer disease,
btn[c],4764.0,1260.0,0.7908366533864541,0.006943743219528257,0.08419288653678011,Rv0212c,set(),Biotin [cytoplasm],c,C10H15N2O3S,btn[c],btn_c,MNXM304,C00120,cpd00104,13905;15956;22882;22884;3108;41236;57586,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors;ABC transporters;Vitamin digestion and absorption,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin;Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin;Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin;Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin"
h2s[c],3929.0,2095.0,0.6522244355909694,0.10186173801818998,0.32935295292548095,Rv0212c,"{'rhcys[c]', 'h2s[e]', 'gthox[c]', 'cyst__L[c]', 'cys__L[c]', 'cgly[c]', 's[c]', 'metsox_S__L[c]', 'hcys__L[c]', 'fdxox[c]', 'fdxrd[c]', 'met__L[c]', 'metsox_R__L[c]', 'glucys[c]', 'lgt_s[c]', 'gthrd[c]'}",Hydrogen sulfide [cytoplasm],c,H2S,h2s[c],h2s_c,MNXM89582,C00283,cpd00239;cpd24697,13356;14414;15138;16136;24639;29919;30488;43058;45489;5787,Cysteine and methionine metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Sulfur cycle,"Cysteine biosynthesis, serine => cysteine;Assimilatory sulfate reduction, sulfate => H2S;Dissimilatory sulfate reduction, sulfate => H2S;Sulfide oxidation, sulfide => sulfur;Sulfur reduction, sulfur => sulfide;Assimilatory sulfate reduction, plants, sulfate => H2S"
cpppg3[c],4897.0,1127.0,0.8129150066401063,0.004081307452161573,0.07293162852919849,Rv0212c,"{'ppbng[c]', 'mppp9[c]', 'uppg3[c]', '5aop[c]', 'ppp9[c]', 'hmbil[c]', 'mycobilin[c]', 'pppg9[c]', 'pheme[c]'}",Coproporphyrinogen III [cytoplasm],c,C36H40N4O8,cpppg3[c],cpppg3_c,MNXM410,C03263,cpd02083,14020;15439;23386;3880;41560;57309,Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,"Heme biosynthesis, plants and bacteria, glutamate => heme;Heme biosynthesis, animals and fungi, glycine => heme;Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
fmcbtt[c],3410.0,2614.0,0.5660690571049137,0.29281177527694413,0.5628575801328871,Rv0212c,"{'fcmcbtt[c]', 'mcbtm[c]', 'mcbtt[c]', 'mcbts[c]', 'cmcbtt[c]'}",Iron(II) mycobactin T [cytoplasm],c,C43H71N5O10Fe,fmcbtt[c],fmcbtt_c,MNXM5791,,cpd15953,,,
glu1sa[c],4881.0,1143.0,0.8102589641434262,0.004355587815791308,0.07293162852919849,Rv0212c,set(),L-Glutamate 1-semialdehyde [cytoplasm],c,C5H9NO3,glu1sa[c],glu1sa_c,MNXM1453,C03741,cpd02345,11022;15757;18756;24312;404;42823;42827;57501,Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors,"Heme biosynthesis, plants and bacteria, glutamate => heme;Siroheme biosynthesis, glutamyl-tRNA => siroheme;Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
pre3b[c],3834.0,2190.0,0.6364541832669323,0.12794938427879318,0.38784657109509185,Rv0212c,"{'sheme[c]', 'hgbyr[c]', 'pre6a[c]', 'scl[c]', 'dscl[c]', 'hgbam[c]', 'scl2[c]', 'pre8[c]', 'pre3a[c]', 'pre5[c]', 'pre6b[c]', 'pre4[c]'}",Precorrin 3B [cytoplasm],c,C43H44N4O17,pre3b[c],pre3b_c,MNXM1291,C06406,cpd03833,14872;26222;27711;58522;77870;8372,Porphyrin metabolism;Metabolic pathways;Biosynthesis of cofactors,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide"
4ppan[c],3450.0,2574.0,0.5727091633466136,0.27413364336075313,0.5619464130800046,Rv0212c,"{'4ppcys[c]', 'pnto__R[c]', 'pan4p[c]'}",D-4'-Phosphopantothenate [cytoplasm],c,C9H15NO8P,4ppan[c],4ppan_c,MNXM415,C03492,cpd02201,10986;12886;15905;18702;20891;4082,beta-Alanine metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of cofactors,"Coenzyme A biosynthesis, pantothenate => CoA;Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA"
pydx[c],3202.0,2822.0,0.5315405046480743,0.3976482314861547,0.6304115557479903,Rv0212c,set(),Pyridoxal [cytoplasm],c,C8H9NO3,pydx[c],pydx_c,MNXM311,C00250,cpd00215,131530;14976;17310;26423;45112;8667,Vitamin B6 metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Vitamin digestion and absorption,
frdp[c],4263.0,1761.0,0.7076693227091634,0.03952126651607673,0.2755862477714081,Rv0212c,"{'2mecdp[c]', 'decdman1p_tb[c]', 'ggdp[c]', 'hepdp[c]', 'decdpr_tb[c]', 'decdp_tb[c]', 'tbsinyldp[c]', 'ppm[c]', 'ipdp[c]', 'pendp[c]', 'udcpdp[c]', 'decda_tb[c]', 'hmbpp[c]', 'decdr_tb[c]', 'grdp[c]', 'hexdp[c]', 'dmpp[c]', 'h2mb4p[c]', 'udcpp[c]', 'decdp[c]', 'decd_tb[c]', 'octdp[c]'}",Farnesyl diphosphate [cytoplasm],c,C15H25O7P2,frdp[c],frdp_c,MNXM34,C00448,cpd00350,10700;11488;11491;12854;12874;14231;17407;175763;19789;24016;42496;50277,Steroid biosynthesis;Peptidoglycan biosynthesis;Terpenoid backbone biosynthesis;Carotenoid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Insect hormone biosynthesis;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites,"Cholesterol biosynthesis, FPP => cholesterol;Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol;C10-C20 isoprenoid biosynthesis, bacteria;C10-C20 isoprenoid biosynthesis, archaea;C10-C20 isoprenoid biosynthesis, plants;C10-C20 isoprenoid biosynthesis, non-plant eukaryotes;Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone;Fumagillin biosynthesis, farnesyl-PP => fumagillin;Staphyloxanthin biosynthesis, bacteria, farnesyl-PP => staphyloxanthin;Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III"
2plac__L[c],2742.0,3282.0,0.4551792828685259,0.64801187359969,0.7767060466861015,Rv0212c,set(),2-phospho-L-lactate [cytoplasm],c,C3H4O6P,2plac__L[c],2plac__L_c,MNXM2888,C19156,cpd15809;cpd20414;cpd28137,45013;59433;59906,Methane metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors,"F420 biosynthesis, archaea"
hemeA[c],3550.0,2474.0,0.5893094289508632,0.2300413110101427,0.5189303992554382,Rv0212c,{'hemeO[c]'},Heme A C49H55FeN4O6 [cytoplasm],c,C49H54FeN4O6,hemeA[c],hemeA_c,MNXM53309,C15670,cpd11312,24479;36163;61715,Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,
barb[c],4867.0,1157.0,0.8079349269588313,0.003371350197942815,0.07293162852919849,Rv0212c,set(),Barbiturate [cytoplasm],c,C4H4N2O3,barb[c],barb_c,,,,,,
so3[c],3554.0,2470.0,0.5899734395750332,0.2283598586291473,0.5189303992554382,Rv0212c,set(),Sulfite [cytoplasm],c,O3S,so3[c],so3_c,MNXM105630,C00094;C11481,cpd00081,13367;15139;17137;17359;26837;29214;33543;45548;48854;5598;9344,Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Sulfoquinovose metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Sulfur cycle;Cysteine and methionine metabolism;Sulfoquinovose metabolism,"Assimilatory sulfate reduction, sulfate => H2S;Dissimilatory sulfate reduction, sulfate => H2S;Assimilatory sulfate reduction, plants, sulfate => H2S;Sulfoquinovose degradation, sulfoquinovose => glucose;"
ser__L[c],3024.0,3000.0,0.50199203187251,0.49356035963754075,0.6649354845116869,Rv0212c,"{'ser__L[e]', 'acser[c]', 'pser__L[c]'}",L-Serine [cytoplasm],c,C3H7NO3,ser__L[c],ser__L_c,MNXM53,C00065;C00716,cpd00054;cpd28171;cpd30743,13167;15081;17115;17822;21387;26648;32836;32837;32845;32846;33384;35243;45440;45451;45590;45597;45677;6301;9116,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glycerophospholipid metabolism;Sphingolipid metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various siderophores;Biosynthesis of various antibiotics;Nonribosomal peptide structures;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;ABC transporters;Sphingolipid signaling pathway;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;Bacterial chemotaxis","Serine biosynthesis, glycerate-3P => serine;Cysteine biosynthesis, serine => cysteine;Methionine degradation;Ceramide biosynthesis;Cysteine biosynthesis, homocysteine + serine => cysteine;Formaldehyde assimilation, serine pathway;Photorespiration;Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A;Cycloserine biosynthesis, arginine/serine => cycloserine;Staphyloferrin B biosynthesis, L-serine => staphyloferrin B;Betaine degradation, bacteria, betaine => pyruvate;Achromobactin biosynthesis, serine + citrate => achromobactin;Vibrioferrin biosynthesis, serine + citrate => vibrioferrin;"
hom__L[c],2897.0,3127.0,0.4809096945551129,0.5628022744939972,0.7183134292883913,Rv0212c,"{'sl26da[c]', 'aact[c]', 'L2aadp6sa[c]', '3mop[c]', 'n6hlys[c]', 'sl2a6o[c]', 'phom[c]', 'thr__L[c]', 'aspsa[c]', '2aobut[c]', 'thdp[c]', '26dap__M[c]', 'lys__L[c]', 'n6hlysmal[c]', 'thr__L[e]', 'ile__L[c]', 'ile__L[e]', '23dhdp[c]', 'suchms[c]', 'appl[c]', '2obut[c]', 'achms[c]', '26dap_LL[c]', '4pasp[c]', '23dhmp[c]', '2ahbut[c]', 'lys__L[e]'}",L-Homoserine [cytoplasm],c,C4H9NO3,hom__L[c],hom__L_c,MNXM353,C00263,cpd00227,13123;15699;21330;43131;57476;6246,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids","Methionine biosynthesis, aspartate => homoserine => methionine;Threonine biosynthesis, aspartate => homoserine => threonine"
asp__L[e],2703.0,3321.0,0.4487051792828685,0.664252069921598,0.7856216282695021,Rv0212c,set(),L-Aspartate [extracellular],e,C4H6NO4,asp__L[e],asp__L_e,MNXM42,C00049;C16433,cpd00041;cpd19181,13085;132943;17053;21244;21247;22659;22660;29991;29992;29993;29995;35391;40853;40900;40913;40942;6193,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Histidine metabolism;beta-Alanine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon fixation by Calvin cycle;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;Bacterial chemotaxis;Neuroactive ligand-receptor interaction;Protein digestion and absorption;Central carbon metabolism in cancer;","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine;Methionine biosynthesis, aspartate => homoserine => methionine;Threonine biosynthesis, aspartate => homoserine => threonine;Urea cycle;Ectoine biosynthesis, aspartate => ectoine;NAD biosynthesis, aspartate => quinolinate => NAD;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type;C4-dicarboxylic acid cycle, NAD - malic enzyme type;Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine;Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine;Arginine biosynthesis, ornithine => arginine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Ectoine degradation, ectoine => aspartate;Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin;"
fum[e],3765.0,2259.0,0.625,0.1494376795865978,0.42633690940882313,Rv0212c,set(),Fumarate [extracellular],e,C4H2O4,fum[e],fum_e,MNXM93,C00122,cpd00106,14284;18012;22956;22957;22958;24122;24124;29806;36180;37154;37155;42511;42743;5190,"Citrate cycle (TCA cycle);Oxidative phosphorylation;Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Tyrosine metabolism;Phenylalanine metabolism;Pyruvate metabolism;Styrene degradation;Butanoate metabolism;Other carbon fixation pathways;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Degradation of aromatic compounds;Two-component system;Glucagon signaling pathway;Pathways in cancer;Renal cell carcinoma;Central carbon metabolism in cancer","Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate;Urea cycle;Tyrosine degradation, tyrosine => homogentisate;Succinate dehydrogenase (ubiquinone);Succinate dehydrogenase, prokaryotes;Fumarate reductase, prokaryotes;Reductive citrate cycle (Arnon-Buchanan cycle);Dicarboxylate-hydroxybutyrate cycle;3-Hydroxypropionate bi-cycle;Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate;Nicotinate degradation, nicotinate => fumarate;Arginine biosynthesis, ornithine => arginine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Methylcitrate cycle"
