,Gene Expr MI Eigenvector Centrality
Rv0175,0.01650424498130003
Rv0176,0.0160181301357961
Rv0177,0.013993035553457975
Rv0178,0.019615178097970296
Rv0179c,0.014941201184324036
Rv0180c,0.012106170931665765
Rv0181c,0.019425872759544997
Rv0182c,0.020225444217739256
Rv0183,0.019018609543145805
Rv0184,0.02068604050545378
Rv0185,0.01886720380988506
Rv0186,0.02262869770438921
Rv0187,0.014775261744427295
Rv0188,0.019412714696729057
Rv0189c,0.020874794992868585
Rv0190,0.016787046629807734
Rv0191,0.013226477451439029
Rv0192,0.013488451001876125
Rv0193c,0.01309084085810318
Rv0194,0.018735452429098468
Rv0195,0.013614345708131649
Rv0196,0.011546680631728068
Rv0197,0.013479496993891506
Rv0198c,0.015468267976142347
Rv0199,0.017145508611228134
Rv0200,0.019455889491386245
Rv0201c,0.015319336337861639
Rv0202c,0.017353944713594114
Rv0203,0.01754868948905904
Rv0204c,0.015477966938545598
Rv0205,0.014882407953083331
Rv0206c,0.016805419937017892
Rv0207c,0.01198671190467313
Rv0208c,0.012667524149435715
Rv0209,0.013526348943589412
Rv0210,0.015363476831116286
Rv0211,0.014142536959418922
Rv0212c,0.020724034880979215
Rv0213c,0.009984706467536495
Rv0214,0.01304522362607243
Rv0216,0.013106447348586753
Rv0217c,0.013530910537276593
Rv0218,0.017910645390560937
Rv0219,0.011315350591261372
Rv0220,0.019593050301721846
Rv0221,0.01889411089554274
Rv0222,0.017133848338208357
Rv0223c,0.018665329758514378
Rv0224c,0.018819619073505333
Rv0225,0.018743360761143166
Rv0226c,0.023297464522682186
Rv0227c,0.02187643686499207
Rv0228,0.01591108108337007
Rv0229c,0.016628835608122283
Rv0230c,0.017137295209999247
Rv0231,0.019668929161768222
Rv0232,0.014567393252951087
Rv0233,0.015667371839446026
Rv0234c,0.01511950668829507
Rv0235c,0.01637680262096044
Rv0236A,0.015209350104768217
Rv0236c,0.017369888737417315
Rv0237,0.020136089087674214
Rv0238,0.012301767847503328
Rv0240,0.014559452954822324
Rv0241c,0.018613093053051775
Rv0242c,0.021279208764756644
Rv0243,0.017861258555586956
Rv0244c,0.012440212666594517
Rv0245,0.014116595065053897
Rv0246,0.014960046775580606
Rv0247c,0.017855541677140815
Rv0248c,0.018565102254389662
Rv0249c,0.012183092632428017
Rv0250c,0.013710474181715528
Rv0251c,0.016912880378311384
Rv0252,0.013815916994644678
Rv0253,0.015561607181890494
Rv0254c,0.021165000182143488
Rv0255c,0.020248419601649588
Rv0256c,0.01848643591937283
Rv0257,0.013012844286149617
Rv0258c,0.01039124827479195
Rv0259c,0.016573586575138594
Rv0260c,0.013131762971753422
Rv0261c,0.014401313140854764
Rv0262c,0.014635023999741217
Rv0263c,0.017618594869513497
