,u1,u2,auc,p-value,adj p-value
Rv2242,7222.5,12577.5,0.36477272727272725,0.9758106177705415,1.0
Rv2250c,55970.5,140940.5,0.28424262737988226,1.0,1.0
Rv2258c,,,,,
Rv2282c,8701.5,23848.5,0.26732718894009216,0.9999934936118852,1.0
Rv2324,,,,,
Rv2359,,,,,
Rv2374c,,,,,
Rv2478c,,,,,
Rv2488c,,,,,
Rv2506,6505.5,5649.5,0.5352118469765529,0.3436504709168339,1.0
Rv2595,17653.0,24701.0,0.41679652453133115,0.9616949317849165,1.0
Rv2621c,,,,,
Rv2640c,,,,,
Rv2642,,,,,
Rv2703,17716.5,34517.5,0.3391756327296397,0.9999325970972774,1.0
Rv2710,,,,,
Rv2711,8459.5,15828.5,0.3482995718050066,0.9927320314902106,1.0
Rv2720,,,,,
Rv2745c,,,,,
Rv2760c,,,,,
Rv2779c,5129.0,421.0,0.9241441441441441,0.0005173757680558101,0.02664485205487422
Rv2788,43118.0,83362.0,0.3409076533839342,0.9999999949604237,1.0
Rv2827c,17620.0,22488.0,0.43931385259798544,0.8959949323936713,1.0
Rv2884,97628.0,208188.0,0.31923771156512415,1.0,1.0
Rv2887,85481.5,211158.5,0.2881657901833873,1.0,1.0
Rv2912c,,,,,
Rv2986c,3680.5,5175.5,0.4155939476061427,0.7954515011749865,1.0
Rv2989,,,,,
Rv3050c,19611.0,34755.0,0.36072177463856087,0.99962393725653,1.0
Rv3055,3884.5,3871.5,0.5008380608561114,0.49717730123476933,1.0
Rv3058c,101728.5,188980.5,0.34993240663343755,0.9999999999999974,1.0
Rv3060c,,,,,
Rv3066,,,,,
Rv3082c,,,,,
Rv3095,4462.5,9889.5,0.31093227424749165,0.9906295397024408,1.0
Rv3124,,,,,
Rv3133c,31306.5,53493.5,0.3691804245283019,0.9999544424331502,1.0
Rv3143,,,,,
Rv3160c,,,,,
Rv3167c,13121.5,31076.5,0.2968799493189737,0.9999952247236797,1.0
Rv3173c,,,,,
Rv3183,,,,,
Rv3197A,16810.5,27223.5,0.3817618204115002,0.995017315711632,1.0
Rv3208,25031.0,56517.0,0.3069480551331731,0.9999999915696329,1.0
Rv3219,,,,,
Rv3223c,73230.5,83543.5,0.46710870424942913,0.9090501251197266,1.0
Rv3246c,,,,,
