Regulator Name,Gene Set Name,Total Genes,Gene Set Size,Regulator Target Set Size,Overlap,Total Genes,odds-ratio,p-value,Adjusted p-value
Rv0020c,Arginine and Proline Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Beta oxidation of unsaturated fatty acids,1010,67.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Carbon metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Citric Acid Cycle,1010,32.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Cofactor,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Cofactor and Prosthetic Group Biosynthesis,1010,102.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Cysteine and methionine metabolism,1010,27.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Degradation/Utilization/Assimilation,1010,7.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Ergothioneine biosynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Fatty acid biosynthesis,1010,15.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Fatty Acid Metabolism,1010,137.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Folate Metabolism,1010,13.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Fructose and mannose metabolism,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Glycerolipid metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Glycerophospholipid metabolism,1010,50.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Glycolysis/Gluconeogenesis,1010,54.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Glyoxylate Metabolism,1010,7.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Histidine Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Inositol phosphate metabolism,1010,5.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,L-alpha-aminoadipic acid (L-AAA) biosynthesis,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Lipid metabolism,1010,11.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Lipopolysaccharide Biosynthesis / Recycling,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Membrane Metabolism,1010,67.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Miscellaneous,1010,6.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Mycobactin biosynthesis,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Mycolic Acid Biosynthesis,1010,11.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Mycolic acid pathway,1010,14.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Nicotinate and nicotinamide metabolism,1010,2.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Nucleotide Salvage Pathway,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Other Amino Acid Metabolism,1010,20.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Others,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Oxidative Phosphorylation,1010,35.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Pantothenate and CoA Metabolism,1010,18.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Pentose Phosphate Pathway,1010,14.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Peptidoglycan Metabolism,1010,12.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,p-HBAD biosynthesis,1010,4.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Phenolic glycolipid biosynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Polyprenyl Metabolism,1010,15.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Propanoate metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Propanoate Metabolism,1010,5.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Purine and Pyrimidine Biosynthesis,1010,74.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Pyruvate Metabolism,1010,24.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Redox Metabolism,1010,25.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Riboflavin Metabolism,1010,9.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Spermidine biosynthesis,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Starch and sucrose metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Sulfur metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Thiamine Metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Threonine and Lysine Metabolism,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Transport,1010,101.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,tRNA Charging,1010,2.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1010,18.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Unassigned,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Urea Cycle,1010,4.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,"Valine, Leucine, and Isoleucine Metabolism",1010,26.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Cholesterol degradation,1010,38.0,0.0,0.0,1010,,1.0,1.0
Rv0022c,"Alanine, Aspartate, and Glutamate Metabolism",1010,28.0,82.0,1.0,1010,0.41197988111568357,0.909696512950586,1.0
Rv0022c,Alternate Carbon Metabolism,1010,19.0,82.0,3.0,1010,2.1645569620253164,0.19534172084879306,1.0
Rv0022c,Arabinogalactan biosynthesis,1010,29.0,82.0,2.0,1010,0.8342592592592593,0.6985592356945223,1.0
Rv0022c,Arabinogalactan bioynthesis,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Arginine and Proline Metabolism,1010,10.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Beta oxidation of unsaturated fatty acids,1010,67.0,82.0,4.0,1010,0.7041107041107041,0.8127764926835194,1.0
Rv0022c,Carbon metabolism,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Citric Acid Cycle,1010,32.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Cofactor,1010,1.0,82.0,0.0,1010,0.0,1.0,1.0
