,Eigenvector Centrality
Rv3141,0.0002546375805692461
Rv3145,1.633375804111314e-05
Rv3146,1.633375804111314e-05
Rv3147,1.633375804111314e-05
Rv3148,1.633375804111314e-05
Rv3149,1.633375804111314e-05
Rv3150,1.633375804111314e-05
Rv3151,1.633375804111314e-05
Rv3152,1.633375804111314e-05
Rv3153,1.633375804111314e-05
Rv3154,1.633375804111314e-05
Rv3155,1.633375804111314e-05
Rv3156,1.633375804111314e-05
Rv3157,1.633375804111314e-05
Rv3158,1.633375804111314e-05
Rv3175,2.1586111597804418e-11
Rv3176c,2.1586111597804418e-11
Rv3199c,5.401798311598136e-05
Rv3203,2.1586111597804418e-11
Rv3206c,0.0011156958634230278
Rv3214,1.0385276613091593e-05
Rv3215,0.08349196419055009
Rv3227,0.0001720143684729325
Rv3229c,5.5710674100595405e-05
Rv3233c,2.1586111597804418e-11
Rv3234c,2.1586111597804418e-11
