,pFBA fluxes,IMAT fluxes,FVA IMAT pFBA fluxes,diff imat,diff fva imat,name,annotation,expression,gpr,notes,id,subsystem,genes
20,-0.0,-0.0,-0.0,0.0,0.0,5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir),{},5oxpro[c] + atp[c] + 2.0 h2o[c] <=> adp[c] + glu__L[c] + h[c] + pi[c],Rv0266c,{},OPAH,"Alanine, Aspartate, and Glutamate Metabolism",Rv0266c
21,0.0,-0.0,0.0,-0.0,0.0,1-pyrroline-5-carboxylate dehydrogenase,{},1pyr5c[c] + 2.0 h2o[c] + nad[c] --> glu__L[c] + h[c] + nadh[c],Rv1187,{},P5CD,"Alanine, Aspartate, and Glutamate Metabolism",Rv1187
22,-0.0,0.0,-0.0,0.0,0.0,Succinate-semialdehyde dehydrogenase (NAD),{},h2o[c] + nad[c] + sucsal[c] --> 2.0 h[c] + nadh[c] + succ[c],Rv0234c and Rv1731,{},SSALx,"Alanine, Aspartate, and Glutamate Metabolism","Rv0234c,Rv1731"
23,0.0,0.0,0.0,0.0,0.0,Succinate-semialdehyde dehydrogenase (NADP),{},h2o[c] + nadp[c] + sucsal[c] --> 2.0 h[c] + nadph[c] + succ[c],Rv0234c or Rv1731,{},SSALy,"Alanine, Aspartate, and Glutamate Metabolism","Rv0234c,Rv1731"
24,0.0,0.0,0.0,0.0,0.0,R_HOAS,{},akg[c] + glx[c] + 3.0 h[c] --> co2[c] + hoa[c],Rv1248c,{},HOAS,"Alanine, Aspartate, and Glutamate Metabolism",Rv1248c
25,0.0,0.0,0.0,0.0,0.0,R_SR1,{},hoa[c] --> co2[c] + hla[c],,{},SR1,"Alanine, Aspartate, and Glutamate Metabolism",
26,0.0,0.0,0.0,0.0,0.0,L-aspartate oxidase,{},asp__L[c] + o2[c] --> h2o2[c] + h[c] + iasp[c],Rv1595,{},ASPO6,"Alanine, Aspartate, and Glutamate Metabolism",Rv1595
27,0.0,0.0,0.0,0.0,0.0,Acetyl-CoA synthase (propionate),{},atp[c] + coa[c] + ppa[c] --> amp[c] + ppcoa[c] + ppi[c],Rv3667,{},ACS2,Alternate Carbon Metabolism,Rv3667
28,0.0,-0.0,0.0,-0.0,0.0,N-acetylglucosamine-6-phosphate deacetylase,{},acgam6p[c] + h2o[c] --> ac[c] + gam6p[c],Rv3332,{},AGDC,Alternate Carbon Metabolism,Rv3332
29,-0.0,0.0,0.0,0.0,0.0,DGC3D,{},2dglcn[c] + nad[c] --> 3ddgc[c] + h[c] + nadh[c],Rv1928c or Rv1714,{},DGC3D,Alternate Carbon Metabolism,"Rv1714,Rv1928c"
30,0.04118738865078217,0.0,0.0059546899482530655,-0.04118738865078217,-0.035232698702529104,Glucosamine-1-phosphate N-acetyltransferase,{},accoa[c] + gam1p[c] --> acgam1p[c] + coa[c] + h[c],,{},G1PACT,Alternate Carbon Metabolism,
31,-0.0,0.0,-0.0,0.0,0.0,Galactokinase,{},atp[c] + gal[c] <=> adp[c] + gal1p[c] + h[c],Rv0620,{},GALKr,Alternate Carbon Metabolism,Rv0620
32,0.007299439887458936,0.0,0.0010553206393895472,-0.007299439887458936,-0.006244119248069389,UTP-glucose-1-phosphate uridylyltransferase (irreversible),{},g1p[c] + h[c] + utp[c] --> ppi[c] + udpg[c],Rv0993,{},GALUi,Alternate Carbon Metabolism,Rv0993
33,0.058681942868434075,0.0,0.008483974993058686,-0.058681942868434075,-0.05019796787537539,Glucose-1-phosphate adenylyltransferase,{},atp[c] + g1p[c] + h[c] --> adpglc[c] + ppi[c],Rv1213,{},GLGC,Alternate Carbon Metabolism,Rv1213
34,0.9984355224372597,1.0,0.9997738147738351,0.0015644775627402518,0.0013382923365753419,Glycerol kinase,{},atp[c] + glyc[c] --> adp[c] + glyc3p[c] + h[c],Rv3696c,{},GLYK,Alternate Carbon Metabolism,Rv3696c
35,-0.0,0.0,-0.0,0.0,0.0,B-galactosidase,{},h2o[c] + lcts[c] --> gal[c] + glc__D[c],,{},LACZ,Alternate Carbon Metabolism,
36,0.0,0.0,0.0,0.0,0.0,Alpha glucosidase,{},h2o[c] + malt[c] --> 2.0 glc__D[c],Rv2471,{},MALT,Alternate Carbon Metabolism,Rv2471
37,0.03143263839015886,-0.0,0.00454439142660718,-0.03143263839015886,-0.02688824696355168,Methylmalonate semialdehyde dehydrogenase,{},2mop[c] + coa[c] + nad[c] --> co2[c] + nadh[c] + ppcoa[c],Rv0753c,{},MMSAD1,Alternate Carbon Metabolism,Rv0753c
38,0.01185926636647042,-0.0,0.0017145601248195663,-0.01185926636647042,-0.010144706241650854,Mannose 6-phosphate phosphatase,{},h2o[c] + man6p[c] --> man[c] + pi[c],,{},MN6PP,Alternate Carbon Metabolism,
39,0.0,-0.0,0.0,-0.0,0.0,Maltose trehalose isomerase,{},tre[c] <=> malt[c],Rv0126,{},MTI,Alternate Carbon Metabolism,Rv0126
40,9.979922256536409e-05,0.0,1.4428528899759672e-05,-9.979922256536409e-05,-8.537069366560441e-05,Thiazole phosphate synthesis,{},atp[c] + cys__L[c] + dxyl5p[c] + tyr__L[c] --> 4hba[c] + 4mpetz[c] + ala__L[c] + amp[c] + co2[c] + h2o[c] + h[c] + ppi[c],Rv0417,{},THZPSN,Alternate Carbon Metabolism,Rv0417
41,0.005547838782408589,-0.0,0.0008020819215376402,-0.005547838782408589,-0.004745756860870949,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,{},pep[c] + uacgam[c] --> pi[c] + uaccg[c],Rv1315,{},UAGCVT,Alternate Carbon Metabolism,Rv1315
42,0.01247265733816279,0.0,0.001803241470569714,-0.01247265733816279,-0.010669415867593075,UDP-N-acetylglucosamine diphosphorylase,{},acgam1p[c] + h[c] + utp[c] --> ppi[c] + uacgam[c],Rv1018c,{},UAGDP,Alternate Carbon Metabolism,Rv1018c
43,0.005547838782408589,-0.0,0.0008020819215376402,-0.005547838782408589,-0.004745756860870949,UDP-N-acetylenolpyruvoylglucosamine reductase,{},h[c] + nadph[c] + uaccg[c] --> nadp[c] + uamr[c],Rv0482,{},UAPGR,Alternate Carbon Metabolism,Rv0482
44,-0.0,0.0,-0.0,0.0,0.0,Xylulokinase,{},atp[c] + xylu__D[c] --> adp[c] + h[c] + xu5p__D[c],Rv0729,{},XYLK,Alternate Carbon Metabolism,Rv0729
45,0.0,-0.0,0.0,-0.0,0.0,R_TREP,{},pi[c] + tre[c] --> g1p[c] + glc__D[c],Rv3401,{},TREP,Alternate Carbon Metabolism,Rv3401
46,0.03143263839015886,-0.0,0.00454439142660718,-0.03143263839015886,-0.02688824696355168,3 hydroxyisobutyrate dehydrogenase,{},3hmp[c] + nad[c] --> 2mop[c] + h[c] + nadh[c],Rv0751c,{},HIBD,Alternate Carbon Metabolism,Rv0751c
47,-0.0,0.0,-0.0,0.0,0.0,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,{},h2o[c] + man6pglyc[c] --> glyc__R[c] + man6p[c],Rv0648,{},MANPGH,Alternate Carbon Metabolism,Rv0648
48,-0.0,0.0,-0.0,0.0,0.0,Phosphoacetylglucosamine mutase,{},acgam6p[c] <=> acgam1p[c],Rv3441c,{},ACGAMPM,Arabinogalactan biosynthesis,Rv3441c
49,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,{},uacgam[c] + udcpp[c] --> ump[c] + unaga[c],Rv1302,{},ACGAMT,Arabinogalactan biosynthesis,Rv1302
50,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,Arabinofuranosyl transferase (M tb),{},decda_tb[c] + galfragund[c] --> agalfragund[c] + decd_tb[c],Rv3792,{},AFTA,Arabinogalactan biosynthesis,Rv3792
